;matches_tournament_id;tournaments_tournament_name;tournaments_year;tournaments_host_country;tournaments_winner;tournaments_count_teams
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1950;1950 FIFA Men's World Cup;1950;Brazil;Uruguay;13
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
;WC-1954;1954 FIFA Men's World Cup;1954;Switzerland;West Germany;16
