;matches_home_team_id;home_team_name;home_mens_team;home_womens_team;home_womens_team;home_region_name
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-87;Yugoslavia;1;0;0;Europe
;T-87;Yugoslavia;1;0;0;Europe
;T-87;Yugoslavia;1;0;0;Europe
;T-87;Yugoslavia;1;0;0;Europe
;T-87;Yugoslavia;1;0;0;Europe
;T-73;Spain;1;1;1;Europe
;T-73;Spain;1;1;1;Europe
;T-83;United States;1;1;1;North America
;T-74;Sweden;1;1;1;Europe
;T-74;Sweden;1;1;1;Europe
;T-74;Sweden;1;1;1;Europe
;T-74;Sweden;1;1;1;Europe
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-13;Chile;1;1;1;South America
;T-13;Chile;1;1;1;South America
;T-13;Chile;1;1;1;South America
;T-13;Chile;1;1;1;South America
;T-13;Chile;1;1;1;South America
;T-13;Chile;1;1;1;South America
;T-13;Chile;1;1;1;South America
;T-73;Spain;1;1;1;Europe
;T-41;Italy;1;1;1;Europe
;T-41;Italy;1;1;1;Europe
;T-84;Uruguay;1;0;0;South America
;T-84;Uruguay;1;0;0;South America
;T-84;Uruguay;1;0;0;South America
;T-84;Uruguay;1;0;0;South America
;T-84;Uruguay;1;0;0;South America
;T-84;Uruguay;1;0;0;South America
;T-84;Uruguay;1;0;0;South America
;T-84;Uruguay;1;0;0;South America
;T-75;Switzerland;1;1;1;Europe
;T-75;Switzerland;1;1;1;Europe
;T-75;Switzerland;1;1;1;Europe
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-84;Uruguay;1;0;0;South America
;T-84;Uruguay;1;0;0;South America
;T-84;Uruguay;1;0;0;South America
;T-84;Uruguay;1;0;0;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-84;Uruguay;1;0;0;South America
;T-84;Uruguay;1;0;0;South America
;T-84;Uruguay;1;0;0;South America
;T-84;Uruguay;1;0;0;South America
;T-84;Uruguay;1;0;0;South America
;T-74;Sweden;1;1;1;Europe
;T-74;Sweden;1;1;1;Europe
;T-74;Sweden;1;1;1;Europe
;T-74;Sweden;1;1;1;Europe
;T-84;Uruguay;1;0;0;South America
;T-84;Uruguay;1;0;0;South America
;T-84;Uruguay;1;0;0;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-09;Brazil;1;1;1;South America
;T-87;Yugoslavia;1;0;0;Europe
;T-05;Austria;1;0;0;Europe
;T-84;Uruguay;1;0;0;South America
;T-84;Uruguay;1;0;0;South America
;T-75;Switzerland;1;1;1;Europe
;T-75;Switzerland;1;1;1;Europe
;T-75;Switzerland;1;1;1;Europe
